0,535
1,532
2,532
3,532
4,532
5,534
6,534
7,534
8,534
9,536
10,537
11,536
12,536
13,539
14,539
15,537
16,539
17,539
18,537
19,536
20,536
21,537
22,537
23,538
24,537
25,539
26,539
27,538
28,537
29,537
30,538
31,537
32,537
33,537
34,538
35,537
36,536
37,535
38,535
39,535
40,534
41,535
42,532
43,533
44,532
45,532
46,533
47,533
48,533
49,533
50,534
51,535
52,535
53,537
54,537
55,536
56,537
57,539
58,537
59,538
60,538
61,538
62,537
63,536
64,536
65,537
66,538
67,537
68,538
69,538
70,538
71,537
72,538
73,538
74,537
75,537
76,537
77,537
78,536
79,536
80,534
81,534
82,536
83,536
84,535
85,534
86,533
87,533
88,533
89,533
90,533
91,533
92,534
93,533
94,534
95,535
96,535
97,537
98,537
99,537
