0,460
1,457
2,457
3,458
4,458
5,458
6,459
7,460
8,460
9,460
10,461
11,463
12,464
13,464
14,465
15,466
16,466
17,467
18,468
19,469
20,468
21,468
22,470
23,470
24,470
25,469
26,468
27,467
28,465
29,467
30,466
31,466
32,465
33,464
34,463
35,462
36,461
37,460
38,459
39,460
40,459
41,460
42,459
43,458
44,457
45,458
46,458
47,458
48,459
49,459
50,460
51,461
52,460
53,462
54,463
55,464
56,464
57,464
58,465
59,467
60,466
61,468
62,467
63,469
64,470
65,469
66,469
67,468
68,467
69,468
70,465
71,466
72,466
73,465
74,465
75,464
76,463
77,463
78,462
79,461
80,460
81,459
82,459
83,459
84,459
85,459
86,458
87,457
88,458
89,458
90,458
91,459
92,460
93,459
94,460
95,461
96,462
97,462
98,464
99,464
