0,619
1,617
2,617
3,621
4,618
5,617
6,621
7,619
8,615
9,621
10,614
11,616
12,617
13,617
14,617
15,616
16,614
17,616
18,614
19,615
20,614
21,614
22,612
23,612
24,616
25,611
26,616
27,614
28,615
29,616
30,618
31,617
32,614
33,614
34,618
35,614
36,615
37,617
38,619
39,619
40,618
41,618
42,616
43,619
44,620
45,620
46,617
47,622
48,618
49,616
50,615
51,620
52,616
53,615
54,617
55,614
56,614
57,615
58,614
59,614
60,613
61,613
62,612
63,612
64,612
65,610
66,615
67,612
68,613
69,614
70,615
71,616
72,616
73,616
74,614
75,611
76,616
77,616
78,614
79,618
80,620
81,619
82,616
83,620
84,619
85,616
86,620
87,618
88,619
89,621
90,618
91,615
92,617
93,618
94,617
95,617
96,616
97,615
98,614
99,613
